tDayStart,tempAvg,energyHigh,energyLow,envergyAvg,xAvg,yAvg,zAvg
39.7136342593,746.064516129,12.3241676329,11.6529158383,11.9791193276,341.387096774,963.612903226,641.967741935
39.7344675926,743.733333333,12.2696517413,11.3877111626,11.9063223858,341.733333333,963.6,641.6
39.7553009259,742.033333333,12.2774279085,11.4255178128,11.9117503682,342.866666667,963.2,641.8
39.7761342593,740.533333333,12.3027492547,11.5240066225,11.8660716014,341.266666667,964.066666667,641.5
39.7969675926,739.866666667,12.3488487659,11.4845975489,11.9078156308,341.533333333,963.933333333,641.7
39.8178009259,739.533333333,12.2503728252,11.7304823471,11.9905874524,341.433333333,963.266666667,641.466666667
39.8386342593,738.266666667,12.2909693455,11.5638985579,11.9173430497,341.033333333,963.466666667,641.666666667
39.8594675926,737.714285714,12.3895695364,11.5516155758,11.982046554,341.214285714,964.25,640.678571429
39.881087963,737.2,12.4346529733,11.728462558,12.054396035,341.066666667,963.066666667,641.233333333
39.9019212963,737.066666667,12.2713409581,11.651193634,11.9811779416,339.833333333,963.166666667,641.7
39.9227546296,736.733333333,12.502071251,11.8182571239,12.1178353535,340.333333333,964.066666667,641.366666667
39.943587963,736.866666667,12.3903247184,11.6028169014,11.9353270391,340.866666667,963.666666667,641.666666667
39.9644212963,736.2,12.3916500994,11.5827671914,11.9317343238,341.133333333,963.6,641.966666667
39.9852546296,736.2,12.2906379453,11.617973802,11.9193620236,340.533333333,963.433333333,642.7
40.006087963,735.333333333,12.1595691798,11.2164401724,11.8306034169,341.533333333,964.533333333,641.8
40.0269212963,735.0,12.276627464,11.5578389128,11.8546564566,340.857142857,964.392857143,641.857142857
40.0478009259,734.166666667,12.2792046396,11.4668435013,11.9208302348,341.333333333,963.666666667,641.133333333
40.0686342593,734.266666667,12.2066909573,11.5128502736,11.8933600013,341.6,963.9,641.3
40.0894675926,732.366666667,12.0883474225,11.5238647663,11.792308021,341.266666667,963.933333333,642.166666667
40.1103009259,732.666666667,12.1169648774,11.5444444444,11.8516700943,340.7,963.433333333,642.033333333
40.1311342593,731.466666667,12.1122161445,11.5781275891,11.7977625855,341.666666667,964.0,641.033333333
40.1519675926,731.4,12.2272124627,11.4815060541,11.8329056835,341.2,963.533333333,641.7
40.1728009259,730.333333333,12.2380557399,11.5953603977,11.8836315804,341.633333333,964.466666667,641.366666667
40.1936342593,730.571428571,12.3045929365,11.5785809019,11.9116981924,341.035714286,963.25,642.571428571
40.2145023148,730.266666667,12.4554192907,11.7149726414,12.0087059301,341.2,963.966666667,641.133333333
40.2353356481,728.266666667,12.3300729443,11.4582987896,11.8573414614,340.933333333,964.066666667,641.7
40.2561689815,729.3,12.342004971,11.5426343729,11.8808435699,341.7,963.5,641.933333333
40.2770023148,727.733333333,12.0823256584,11.4650198939,11.8023601001,341.366666667,964.133333333,641.833333333
40.2978356481,727.466666667,12.1339744653,11.4693200663,11.8556520849,340.7,964.266666667,641.7
40.3186689815,727.366666667,12.2607397578,11.5366622429,11.8154598632,340.833333333,963.933333333,642.0
40.3395023148,726.533333333,12.0502570907,11.4948590381,11.7754255671,341.9,963.4,642.3
40.3603356481,726.142857143,12.0972659486,11.3253231687,11.7307348795,340.714285714,964.178571429,641.785714286
40.3811921296,725.866666667,12.2086235489,11.6203181969,11.8609870432,340.833333333,964.0,642.433333333
40.402025463,725.3,12.1448938992,11.403712297,11.7467115588,340.4,963.066666667,641.866666667
40.4228587963,725.3,12.1324722636,11.3500248715,11.707446526,341.166666667,964.333333333,640.733333333
40.4436921296,725.966666667,12.0512522806,11.420677066,11.7258206223,339.7,964.066666667,642.866666667
40.464525463,725.866666667,12.1426912228,11.4175787728,11.709319373,340.233333333,964.033333333,642.2
40.4853587963,725.433333333,12.0192243951,11.4047105656,11.7259519196,340.933333333,963.566666667,642.7
40.5061921296,726.233333333,12.0449345051,11.3936276137,11.7409517396,340.233333333,963.533333333,641.433333333
40.527025463,727.571428571,12.0543496272,11.4595624793,11.7542149241,341.142857143,964.0,642.214285714
40.5479050926,729.2,12.1826620255,11.463438899,11.8305134157,340.366666667,963.566666667,641.233333333
40.5687384259,729.566666667,12.1718309859,11.3607427056,11.7487637615,339.9,964.4,642.166666667
40.5895717593,731.866666667,12.0258577822,11.2469340404,11.6633456975,340.2,964.9,642.2
40.6104050926,733.1,11.8933244989,11.2626346313,11.6069912214,340.833333333,963.566666667,642.333333333
40.6312384259,734.933333333,11.9865849619,11.2535607817,11.5804177949,340.466666667,963.3,642.333333333
40.6520717593,736.066666667,11.883717078,11.388069594,11.64177636,340.566666667,963.4,642.5
40.6729050926,737.2,11.9819446745,11.2995689655,11.627338502,340.5,964.666666667,642.333333333
40.6937384259,738.785714286,11.896785951,11.2202519059,11.6000155885,340.571428571,963.178571429,642.714285714
40.7145949074,740.4,12.1578860172,11.2518211921,11.7586050502,340.2,963.8,642.233333333
40.7354282407,743.333333333,11.9935441152,11.3480781975,11.6504038394,340.5,964.233333333,642.0
40.7562615741,746.233333333,11.9744948658,11.4269383698,11.7130459464,340.566666667,963.466666667,641.6
40.7770949074,748.6,11.9821162444,11.4868355688,11.7245677761,340.4,963.7,641.966666667
40.7979282407,751.7,12.0399204903,11.3786021862,11.7411781003,340.033333333,964.466666667,640.733333333
40.8187615741,753.233333333,12.1751861042,11.3223509934,11.7430861171,339.7,963.566666667,642.3
40.8395949074,754.2,11.9074503311,11.2239324727,11.6293816568,339.933333333,963.6,642.0
40.8604282407,756.357142857,11.8097915978,11.1291390728,11.5669781216,339.714285714,964.321428571,642.107142857
40.8812962963,756.6,12.0749627668,11.3285903375,11.6466764124,340.466666667,963.666666667,642.5
