tDayStart,tempAvg,energyHigh,energyLow,envergyAvg,xAvg,yAvg,zAvg
35.4367592593,707.666666667,10.8748958457,10.6652780671,10.7501887585,301.5,1042.0,234.5
35.4575925926,706.8,10.8422384283,10.587037423,10.7429668256,301.2,1042.2,237.8
35.4784259259,708.4,10.8940647696,10.7148896895,10.8020839177,302.6,1041.2,238.8
35.4992592593,708.0,10.8891994766,10.558944299,10.6770506803,301.2,1042.4,235.0
35.5200925926,712.4,10.9474952404,10.7723717472,10.8186712361,301.0,1041.6,235.4
35.5409259259,716.0,10.9555482873,10.7351769254,10.8879644804,301.6,1040.6,236.2
35.5617592593,720.4,11.1092314553,10.8424730863,10.9387555981,301.8,1041.6,235.8
35.5825925926,726.4,11.0618146156,10.7857695052,10.9681477631,303.0,1041.6,235.6
35.6034259259,734.6,11.1805138868,10.9435134011,11.0536393055,301.2,1040.4,233.4
35.6242592593,742.0,11.3362547907,10.9814990794,11.0959653788,303.2,1043.2,232.0
35.6450925926,747.0,11.4664471342,11.096912114,11.2588480316,300.4,1042.0,234.0
35.6659259259,753.6,11.5102458409,11.2401518747,11.4200200554,301.6,1041.2,233.0
35.6867592593,762.0,11.7628551094,11.286540172,11.5046265033,302.6,1041.0,235.6
35.7075925926,771.4,11.6094236183,11.4683776895,11.5439410875,300.6,1041.2,236.4
35.7284259259,775.8,11.8588437389,11.5166898676,11.680878247,301.8,1043.0,232.0
35.7492592593,783.0,12.0857692877,11.8065509684,11.9350277109,303.2,1042.4,234.2
35.7700925926,787.8,12.1447302217,11.8839396628,12.0664306696,305.0,1040.8,233.6
35.7909259259,791.4,12.1086512564,11.9229540209,12.0102158438,302.8,1041.8,232.6
35.8117592593,795.8,12.1885704144,11.9486527256,12.0642255754,302.0,1041.6,233.4
35.8325925926,798.0,12.0588826783,11.9500620898,12.0095997397,302.2,1042.6,235.0
35.8534259259,798.8,12.1669920142,11.9850962534,12.0546984366,302.6,1041.0,234.0
35.8742592593,798.8,12.2186972863,11.9451459325,12.0888031229,302.2,1042.8,232.2
35.8950925926,799.6,12.1536572375,12.0173565937,12.0572586608,303.6,1039.4,235.8
35.9159259259,798.0,12.1505796073,11.8609747442,12.0056039025,303.0,1042.4,234.6
35.9367592593,798.4,12.1019249534,11.9461561206,12.0164671107,301.8,1040.6,233.4
35.9575925926,800.8,12.2425255064,12.0920138376,12.1573572492,303.4,1039.8,234.8
35.9784259259,798.0,12.1897127984,12.0023667939,12.1129258743,300.0,1041.8,233.0
35.9992592593,797.6,12.2293203021,12.0755857003,12.159688418,301.4,1042.6,235.0
36.0200925926,795.4,12.1580395987,11.9415019529,12.0781619518,303.0,1043.0,230.8
36.0409259259,793.0,12.3578253025,12.2076588441,12.2607630769,301.4,1040.4,235.8
36.0617592593,789.4,12.4747229301,12.1646052787,12.3147058703,302.0,1040.8,236.4
36.0825925926,787.0,12.448673143,12.0305666519,12.2180597429,302.0,1041.6,234.4
36.1034259259,785.8,12.4894518519,12.2775177725,12.394482316,303.6,1040.8,235.6
36.1242592593,783.0,12.5068290226,12.3626129462,12.4223108558,299.8,1041.4,234.6
36.1450925926,781.8,12.5143305966,12.2748614281,12.382987616,302.4,1040.8,236.8
36.1659259259,777.8,12.4942651374,12.3749147719,12.447026971,301.6,1041.8,234.6
36.1867592593,778.2,12.5218499852,12.4090248747,12.4676483034,302.6,1040.4,235.4
36.2075925926,773.8,12.4643037074,12.3056609366,12.3966016017,301.8,1043.0,233.2
36.2284259259,770.2,12.5259507366,12.3330665955,12.440304692,301.6,1042.8,234.8
36.2492592593,769.0,12.5721609768,12.3528017305,12.4626881939,299.8,1042.4,235.4
36.2700925926,768.8,12.4964414922,12.2879245954,12.4009918214,301.4,1041.0,230.8
36.2909259259,766.0,12.4339706536,12.333985533,12.3956245614,301.6,1043.0,233.8
36.3117592593,763.8,12.5248035582,12.201328549,12.3388958639,303.0,1041.6,233.6
36.3325925926,760.0,12.6089226388,12.3686350148,12.4996181428,300.4,1041.2,233.2
36.3534259259,758.0,12.5543787825,12.3357363237,12.4245105831,299.8,1042.0,234.8
36.3742592593,756.4,12.3524281349,12.3061127596,12.3276783717,300.8,1042.0,234.4
36.3950925926,754.0,12.0846194942,11.9295126729,12.0107664294,301.4,1043.4,232.2
36.4159259259,752.0,11.9319976254,11.8931509777,11.9128519757,299.333333333,1039.33333333,239.0
36.4368981481,752.0,12.1020953285,11.8776867355,12.0343208112,302.2,1042.4,235.4
36.4577314815,752.0,12.2184198029,12.0224015666,12.1308971935,301.0,1041.6,233.6
36.4785648148,752.0,12.2883484768,12.1577260859,12.1999754607,301.2,1045.2,232.8
36.4993981481,752.0,12.2916246216,12.0452440328,12.159670827,302.0,1042.0,233.8
36.5202314815,755.2,12.2598955552,11.9769091503,12.1493653715,302.8,1043.6,236.4
36.5410648148,760.4,12.2007951107,12.0351210252,12.1068576176,300.6,1042.8,236.2
36.5618981481,763.2,12.3312472193,12.1286849754,12.2194617337,303.0,1040.2,231.6
36.5827314815,768.4,12.2774796145,12.0047719257,12.140816695,301.8,1041.4,235.4
36.6035648148,770.0,12.2568820932,12.085190894,12.1670241309,299.8,1041.2,236.4
36.6243981481,778.2,12.3411224641,12.1212237887,12.227000317,301.4,1042.6,234.0
36.6452314815,782.2,12.3154324645,12.2228835391,12.2705125332,299.2,1044.4,233.6
36.6660648148,789.2,12.6303467439,12.1443744268,12.34328111,299.2,1042.6,233.0
36.6868981481,794.0,12.4941858745,12.0850321015,12.312934461,300.4,1042.4,232.0
36.7077314815,799.6,12.4760299293,12.2235172312,12.3152653871,300.6,1042.4,233.2
36.7285648148,806.4,12.355854524,12.2179979897,12.287625292,300.2,1043.0,236.2
36.7493981481,812.8,12.272858916,12.1802358226,12.2232358406,303.8,1041.4,233.8
36.7702314815,815.4,12.2372044917,12.0160889625,12.1113213874,300.6,1042.2,234.0
36.7910648148,819.0,12.4171563561,12.2452735437,12.3454540906,301.0,1042.0,230.6
36.8118981481,821.4,12.3569108092,12.2152769576,12.2611321221,302.0,1044.6,232.2
36.8327314815,825.0,12.2245349867,12.1551037271,12.1764297444,299.4,1039.2,232.4
36.8535648148,827.0,12.2165648337,12.0751786452,12.1435653043,299.0,1041.6,236.0
