tDayStart,tempAvg,energyHigh,energyLow,envergyAvg,xAvg,yAvg,zAvg
45.3991435185,776.5,11.8311163496,11.5589968019,11.7012915377,64861.8333333,785.666666667,65108.1666667
45.4199768519,772.8,11.9594344386,11.5706585818,11.7507583465,64857.6,785.8,65109.6
45.4408101852,773.6,11.9101937658,11.7761495705,11.8401531462,64859.6,784.0,65111.0
45.4616435185,773.8,11.8178601516,11.6525837401,11.726725503,64859.2,785.8,65109.4
45.4824768519,773.0,12.0720781408,11.5661108304,11.8667137751,64859.2,785.0,65112.4
45.5033101852,770.4,12.0470013477,11.4729843461,11.7213250907,64857.6,787.4,65108.4
45.5241435185,772.2,11.6521812363,11.3977770293,11.5342413125,64858.4,785.8,65109.4
45.5449768519,767.714285714,11.6662173547,10.4919137466,11.0223474865,64858.7857143,786.857142857,65109.2142857
45.5658101852,766.114285714,11.6305775383,10.3868576243,10.8867259075,64858.7428571,786.6,65109.4857143
45.5866435185,765.514285714,11.8276907529,10.0367312553,10.7480272362,64858.7428571,786.371428571,65111.0
45.6074768519,765.828571429,11.6297356457,9.90458530007,10.4985952238,64858.6285714,786.885714286,65109.3428571
45.6283101852,765.0,11.4984843382,10.0158462576,10.4306730656,64858.4,787.085714286,65109.3142857
45.6491435185,766.142857143,11.6064026959,9.72906486942,10.4146372243,64858.3428571,787.285714286,65109.1142857
45.6699768519,766.742857143,11.5290648694,9.7519379845,10.2530909141,64858.6285714,786.428571429,65109.4857143
45.6908101852,766.885714286,11.6710459828,9.82985175202,10.3039026705,64858.5428571,786.914285714,65109.6
45.7116435185,767.393939394,11.7103401819,9.65065722952,10.2488492939,64858.1515152,786.484848485,65110.7575758
45.7324768519,767.542857143,11.3942712721,9.57626832968,10.2725497677,64857.8571429,787.085714286,65109.1142857
45.7533101852,769.657142857,11.5803842265,9.78000336644,10.2743717184,64857.6571429,787.2,65110.0571429
45.7741435185,771.742857143,11.65661839,9.89393939394,10.3906699071,64858.0285714,786.942857143,65110.5714286
45.7949768519,773.542857143,11.6240310078,9.95909090909,10.4981386904,64858.2857143,786.828571429,65110.1428571
45.8158101852,775.314285714,11.6925669981,10.1141414141,10.4806694945,64858.6571429,786.971428571,65109.3142857
45.8366435185,775.771428571,11.7182813816,10.0388561817,10.4864668422,64858.7142857,786.8,65110.1142857
45.8574768519,777.2,11.5676267475,10.1290593976,10.6647653832,64858.5714286,786.885714286,65109.6
45.8783101852,777.848484848,11.682063385,10.2572341857,10.7264849038,64858.2727273,786.757575758,65109.3030303
45.8991435185,778.228571429,12.0223905724,10.2740117746,10.7610490465,64859.4285714,785.628571429,65109.8571429
45.9199768519,778.914285714,11.6791245791,10.2690304151,10.7461826682,64858.1428571,786.571428571,65109.2857143
45.9408101852,779.485714286,11.7171495957,10.1281318312,10.7150178518,64858.0,786.8,65110.0857143
45.9616435185,780.257142857,11.2427102646,10.3070972082,10.7684365137,64859.2857143,785.828571429,65109.6571429
45.9824768519,780.657142857,11.5085059795,10.4046738399,10.8343270866,64858.4857143,786.114285714,65109.6857143
46.0033101852,780.2,11.2292789757,10.4220615436,10.7463622023,64858.6,787.4,65110.4571429
46.0241435185,780.457142857,11.499747262,10.2807194486,10.7023216107,64859.0,785.342857143,65109.6
46.0449768519,780.242424242,11.4134388683,10.1370438877,10.6835590897,64859.6060606,786.060606061,65110.1818182
46.0658101852,780.6,11.2817660937,10.124264335,10.5955961469,64858.5142857,786.2,65109.4
46.0866435185,779.828571429,11.3490566038,10.2637510513,10.6302617278,64858.8285714,786.571428571,65109.4857143
46.1074768519,779.8,11.5165908708,9.82304457527,10.5685310731,64859.0571429,786.142857143,65108.8571429
46.1283101852,778.828571429,11.2279696714,10.0501177262,10.5412137828,64858.8285714,785.685714286,65110.0
46.1491435185,778.4,11.4198280223,9.79582912883,10.4001541635,64858.7142857,786.228571429,65109.9428571
46.1699768519,778.028571429,11.4270306707,9.66341463415,10.2801961646,64858.7428571,785.542857143,65109.7714286
46.1908101852,778.0,11.3388374052,9.69732638305,10.1491388876,64857.7714286,786.857142857,65108.9428571
46.2116435185,777.303030303,11.0630160067,9.28407943453,10.0552155012,64858.0909091,786.636363636,65110.0
46.2324768519,776.685714286,11.0984324962,9.52312867956,10.1022217685,64858.5142857,786.228571429,65109.7428571
46.2533101852,775.657142857,11.5134952767,9.49074697174,10.0578757899,64858.8,786.228571429,65110.1714286
46.2741435185,774.342857143,11.2792185921,9.3179599394,9.87028710278,64858.9142857,786.257142857,65109.9428571
46.2949768519,773.342857143,11.051558551,9.11118598383,9.63245166841,64858.2,786.6,65110.6857143
46.3158101852,772.571428571,11.2287735849,8.77138047138,9.37718197602,64858.2571429,786.428571429,65110.4857143
46.3366435185,771.542857143,11.0682277628,8.46421956558,9.15768382612,64858.6571429,786.4,65110.2285714
46.3574768519,769.971428571,11.0298080162,8.16484256609,8.86220679655,64858.3142857,787.085714286,65109.9142857
46.3783101852,768.483870968,10.7431316366,7.7987198922,8.50368738766,64858.1612903,787.677419355,65109.8709677
46.3993634259,767.533333333,8.22986181328,7.62419952814,7.91110144248,64859.0,786.333333333,65110.6666667
46.4201967593,767.2,7.92233827493,7.09758975223,7.57609907595,64857.9333333,787.433333333,65110.7333333
46.4410300926,766.933333333,7.71960255978,6.67604447439,7.13726164048,64858.4666667,787.533333333,65110.5
46.4618634259,766.233333333,7.18194070081,6.45348837209,6.87530780015,64857.9,788.666666667,65110.8666667
46.4826967593,765.766666667,6.92482723749,6.33029843197,6.61248191044,64858.4,788.133333333,65111.9666667
46.5035300926,764.966666667,6.69615773509,6.09136884693,6.43118058077,64858.3666667,788.166666667,65111.3
46.5243634259,765.066666667,6.57272727273,5.74023569024,6.10679012098,64857.9666667,788.2,65111.4666667
46.5451967593,764.75,6.29281023741,5.70284847463,5.94037040942,64858.2857143,788.428571429,65111.1071429
