report_id,"report_filename_id",nest_id,param_id,days_active,report_number,"report_starttime","secs_per_rec","num_records","report_datetime"
421,"2014-07-13_AA0008_r-068-06",6,0,68,6,"2014-09-18 16:23:11","60","240","2014-09-18 20:23:14"
422,"2014-07-13_AA0009_r-052-04",3,0,52,4,"2014-09-02 09:35:19","60","240","2014-09-02 13:35:21"
423,"2014-07-13_AA0009_r-061-02",3,0,61,2,"2014-09-11 03:00:13","60","240","2014-09-11 07:00:16"
424,"2014-07-28_AA0014_r-073-01",4,0,73,1,"2014-10-07 23:40:29","60","240","2014-10-08 03:40:30"
425,"2014-07-28_AA0014_r-062-04",4,0,62,4,"2014-09-27 11:37:33","60","240","2014-09-27 15:37:35"
426,"2014-07-13_AA0008_r-050-02",6,0,50,2,"2014-08-31 03:50:22","60","240","2014-08-31 07:50:25"
427,"2014-08-27_AA0027_r-050-05",5,0,50,5,"2014-10-15 14:27:24","60","240","2014-10-15 18:27:25"
428,"2014-08-27_AA0027_r-081-05",5,0,81,5,"2014-11-15 13:51:12","60","240","2014-11-15 17:51:13"
429,"2014-06-20_AA0013_r-088-02",8,0,88,2,"2014-09-15 00:28:09","60","240","2014-09-15 04:28:12"
430,"2014-09-24_AA0012_r-013-01",12,0,13,1,"2014-10-05 15:27:47","360","240","2014-10-06 15:26:53"
431,"2014-07-16_AA0010_r-042-02",14,0,42,2,"2014-08-26 00:17:59","60","240","2014-08-26 04:18:04"
432,"2014-07-13_AA0009_r-055-05",3,0,55,5,"2014-09-05 13:36:11","60","240","2014-09-05 17:36:14"
433,"2014-07-20_AA0011_r-056-03",7,0,56,3,"2014-09-13 04:59:27","60","240","2014-09-13 08:59:30"
434,"2014-08-27_AA0027_r-070-06",5,0,70,6,"2014-11-04 17:40:49","60","240","2014-11-04 21:40:50"
435,"2014-07-28_AA0014_r-063-04",4,0,63,4,"2014-09-28 11:37:47","60","240","2014-09-28 15:37:52"
436,"2014-07-22_AA0024_r-044-01",13,0,44,1,"2014-08-31 09:41:28","60","0","2014-09-03 13:59:02"
437,"2014-06-20_AA0013_r-099-02",8,0,99,2,"2014-09-26 00:30:59","60","240","2014-09-26 04:31:01"
438,"2014-07-23_AA0012_r-054-05",9,0,54,5,"2014-09-14 15:55:06","60","240","2014-09-14 19:55:07"
439,"2014-08-06_AA0017_r-065-02",2,0,65,2,"2014-10-09 02:49:29","60","240","2014-10-09 06:49:29"
440,"2014-08-06_AA0017_r-057-06",2,0,57,6,"2014-10-01 18:47:39","60","240","2014-10-01 22:47:42"
441,"2014-07-22_AA0024_r-048-01",13,0,48,1,"2014-09-06 11:20:23","360","240","2014-09-07 11:19:27"
442,"2014-07-13_AA0008_r-063-03",6,0,63,3,"2014-09-13 04:15:55","60","240","2014-09-13 08:15:57"
443,"2014-06-20_AA0013_r-061-04",8,0,61,4,"2014-08-19 10:37:34","60","240","2014-08-19 14:37:36"
444,"2014-09-24_AA0012_r-050-02",12,0,50,2,"2014-11-12 02:10:26","60","240","2014-11-12 06:10:27"
445,"2014-09-24_AA0012_r-020-01",12,0,20,1,"2014-10-12 15:21:22","360","240","2014-10-13 15:20:26"
446,"2014-07-13_AA0008_r-071-05",6,0,71,5,"2014-09-21 12:23:55","60","240","2014-09-21 16:23:58"
447,"2014-07-23_AA0012_r-044-04",9,0,44,4,"2014-09-04 11:51:53","60","240","2014-09-04 15:51:59"
448,"2014-08-27_AA0027_r-052-01",5,0,52,1,"2014-10-16 22:27:46","60","240","2014-10-17 02:27:49"
449,"2014-08-10_AA0025_r-068-02",10,0,68,2,"2014-10-16 00:48:38","60","240","2014-10-16 04:48:42"
450,"2014-08-06_AA0017_r-061-01",2,0,61,1,"2014-10-04 22:48:27","60","240","2014-10-05 02:48:29"
451,"2014-07-13_AA0008_r-060-06",6,0,60,6,"2014-09-10 16:09:25","60","240","2014-09-10 20:09:28"
452,"2014-06-20_AA0013_r-063-01",8,0,63,1,"2014-08-20 22:37:57","360","240","2014-08-21 22:37:03"
453,"2014-08-06_AA0017_r-073-06",2,0,73,6,"2014-10-17 18:51:37","60","240","2014-10-17 22:51:39"
454,"2014-07-23_AA0012_r-048-03",9,0,48,3,"2014-09-08 07:53:07","60","240","2014-09-08 11:53:12"
455,"2014-08-27_AA0027_r-060-06",5,0,60,6,"2014-10-25 18:37:44","60","240","2014-10-25 22:37:50"
