tDayStart,tempAvg,energyHigh,energyLow,envergyAvg,xAvg,yAvg,zAvg
14.4307523148,749.0,15.1706976244,14.9774284563,15.0722699348,64924.3333333,1063.33333333,131.166666667
14.4515856481,748.6,15.3786131053,14.9599462004,15.1258023655,64923.8,1064.4,129.0
14.4724189815,747.6,15.1070324055,14.8204969612,14.9325834096,64924.0,1063.8,128.4
14.4932523148,746.2,14.945067355,14.6593530693,14.7872936379,64924.8,1063.8,129.2
14.5140856481,746.8,14.821633103,14.5164386139,14.6812472164,64925.6,1063.6,128.8
14.5349189815,748.6,14.787528558,14.5571240354,14.6688661834,64922.8,1063.2,133.0
14.5557523148,748.6,14.8037551371,14.6192613697,14.6747397966,64923.0,1061.0,128.6
14.5765856481,749.6,15.0457268746,14.6880492328,14.8706434228,64924.4,1061.4,128.0
14.5974189815,752.2,15.0137067297,14.8082934952,14.903171138,64924.6,1062.4,129.0
14.6182523148,754.6,15.0253779843,14.9386363026,14.9847715213,64924.4,1061.6,128.8
14.6390856481,758.8,15.1642600247,14.9649443028,15.0633228965,64922.4,1062.8,129.0
14.6599189815,761.2,15.3578001341,15.127079532,15.2362063689,64923.2,1063.2,130.0
14.6807523148,765.8,15.4727004559,15.1532437579,15.2857160796,64924.6,1062.8,129.6
14.7015856481,768.6,15.4656642007,15.235522684,15.3599596735,64924.4,1061.2,130.8
14.7224189815,771.6,15.2802656953,15.2380301691,15.2582368687,64923.8,1062.6,129.0
14.7432523148,774.8,15.4082512315,15.208232964,15.3058612109,64925.4,1062.0,130.0
14.7640856481,779.2,15.3253124916,15.1479717436,15.2359134192,64924.4,1062.0,132.4
14.7849189815,785.0,15.4331228934,15.0283437617,15.2772335462,64924.8,1062.2,127.8
14.8057523148,787.2,15.2649990646,15.0615059742,15.1760789311,64924.4,1062.0,131.0
14.8265856481,788.0,15.0473492946,14.9822883552,15.0068365041,64924.4,1063.4,127.6
14.8474189815,791.6,15.1073565552,14.7665001736,14.9102899231,64923.4,1062.8,127.8
14.8682523148,794.0,14.8225272378,14.6657321371,14.7411404717,64924.2,1061.6,129.4
14.8890856481,796.4,14.786444842,14.6584343461,14.7031200345,64923.6,1062.0,130.2
14.9099189815,798.2,14.6552984816,14.4440053405,14.5331758405,64925.2,1060.8,129.4
14.9307523148,798.6,14.5718555683,14.3201761409,14.4695449913,64924.0,1060.0,130.2
14.9515856481,798.2,14.5174465134,14.4016172507,14.4599437937,64925.6,1063.2,131.0
14.9724189815,798.6,14.7343445403,14.4791750047,14.582704922,64924.8,1060.6,129.8
14.9932523148,799.6,14.5728427344,14.3410716192,14.5072778452,64925.8,1061.8,129.4
15.0140856481,798.6,14.7039874026,14.5376301041,14.61279669,64922.2,1062.0,130.2
15.0349189815,798.2,14.7349313971,14.6001014091,14.6734764779,64925.4,1062.2,130.2
15.0557523148,796.0,14.8292793635,14.613601773,14.7232285801,64924.4,1060.8,128.8
15.0765856481,795.2,14.8999305444,14.7031341769,14.7763223694,64925.2,1060.2,126.4
15.0974189815,794.0,14.880306714,14.608057923,14.7247791714,64923.8,1063.0,129.2
15.1182523148,791.4,14.8776644051,14.5837296286,14.750579111,64924.6,1062.2,129.2
15.1390856481,789.2,14.777727297,14.6322696173,14.7089723891,64925.0,1062.4,131.6
15.1599189815,787.2,14.85138061,14.7354828361,14.7937454152,64924.4,1061.6,131.0
15.1807523148,786.6,15.0351289935,14.8578188915,14.9110863476,64923.8,1062.4,128.2
15.2015856481,784.8,15.444717839,14.9971632724,15.1764031183,64925.6,1062.2,128.8
15.2224189815,780.8,15.3104601391,15.1008931437,15.2063363368,64922.6,1063.6,130.8
15.2432523148,778.6,15.3379022327,15.0696834274,15.1860227234,64923.8,1062.4,130.8
15.2640856481,775.6,15.4416213756,15.1698795181,15.2801504695,64923.4,1062.0,126.6
15.2849189815,774.4,15.4321725154,15.2017837534,15.3139550485,64923.6,1062.6,130.8
15.3057523148,773.0,15.4299072933,15.2803247501,15.3672521793,64923.2,1062.6,127.6
15.3265856481,770.8,15.5979682642,15.4894420923,15.5415000369,64925.8,1062.0,127.0
15.3474189815,768.4,15.7331331117,15.5901024074,15.6814436706,64924.8,1062.8,128.0
15.3682523148,766.2,15.6967608731,15.4372535872,15.571240813,64922.2,1063.6,132.0
15.3890856481,763.2,15.7136647796,15.5234582473,15.6232254272,64924.4,1062.6,129.0
15.4099189815,761.333333333,15.7417831558,15.5925737129,15.6581159505,64924.0,1062.33333333,129.666666667
15.4310763889,759.6,15.6913229018,15.5940041332,15.6471126394,64922.8,1062.8,130.4
